CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
579.0,Germany,Female,24,1,178038.82,2,1,1,98500.78,0
642.0,Germany,Male,25,9,172630.52,2,1,0,38545.58,0
766.0,Spain,Female,21,3,52117.52,2,1,1,144698.2,0
620.0,Spain,Female,40,5,0.0,2,0,0,135681.71,0
557.0,France,Female,34,6,149139.8,1,0,1,64084.48,0
734.0,France,Male,49,8,77288.84,1,1,1,160137.49,0
617.0,Germany,Male,31,1,79599.32,1,1,0,90104.58,1
624.0,France,Male,63,6,0.0,2,1,0,73545.56,1
702.0,Spain,Male,41,6,0.0,1,1,1,116690.26,0
733.0,France,Female,55,2,174798.47,2,1,1,8410.57,0
669.0,Spain,Female,32,10,0.0,1,1,0,23129.45,0
611.0,Spain,Male,45,7,0.0,1,0,1,65888.24,0
572.0,Spain,Male,35,6,82258.34,2,0,0,58916.81,0
745.0,Germany,Male,45,6,0.0,1,0,0,111046.31,0
706.0,Germany,Female,28,0,93080.76,1,1,1,78588.5,0
598.0,France,Female,39,6,148188.4,2,1,0,133521.03,1
760.0,France,Female,44,8,0.0,2,1,0,112836.41,0
667.0,France,Female,36,1,0.0,1,1,1,185622.98,1
685.0,Germany,Female,22,9,1379.78,2,1,1,14326.09,0
464.0,Germany,Female,27,5,235019.68,2,0,1,52216.74,0
717.0,Spain,Male,20,7,89322.0,1,0,1,116710.8,0
583.0,Germany,Male,35,9,800.61,1,1,0,150484.65,0
554.0,Spain,Male,58,0,0.0,1,0,1,190773.83,0
684.0,Spain,Female,41,7,118172.37,2,1,1,113566.64,0
581.0,Germany,Male,34,5,96280.25,1,1,0,151559.38,0
734.0,France,Male,49,3,70232.72,2,0,0,106883.74,0
672.0,France,Female,47,8,0.0,2,1,1,67575.72,0
697.0,France,Male,55,2,108425.9,1,1,1,60709.12,0
726.0,France,Female,34,4,105455.77,2,1,0,172943.34,0
551.0,France,Male,41,9,0.0,2,1,0,47140.11,1
575.0,Germany,Female,28,3,0.0,2,0,1,89306.37,0
673.0,Spain,Male,24,6,0.0,1,0,0,139381.6,0
755.0,France,Male,54,10,73806.53,1,1,1,83643.8,0
573.0,France,Male,51,1,34439.55,2,1,1,31398.22,0
707.0,Spain,Male,43,7,76046.79,2,1,1,43861.31,0
762.0,France,Male,35,0,164271.4,1,1,1,175689.46,0
649.0,France,Female,34,2,0.0,2,1,0,179317.99,0
738.0,France,Male,42,5,93589.24,2,1,1,4090.02,0
761.0,France,Male,39,2,0.0,2,1,1,13010.55,0
631.0,Spain,Female,48,9,117395.44,2,1,0,182168.02,0
674.0,Germany,Male,36,4,0.0,1,1,0,4337.61,0
740.0,Spain,Female,23,0,169719.94,2,0,0,65736.95,0
581.0,France,Female,39,6,76287.65,2,0,1,29309.07,0
615.0,Spain,Male,32,4,52698.9,1,1,1,3452.95,0
512.0,Germany,Female,46,10,0.0,1,1,1,138868.15,0
696.0,Germany,Female,18,1,63747.24,1,1,0,181648.89,1
627.0,Spain,Male,40,5,159768.2,2,1,0,34650.58,0
668.0,Spain,Male,52,8,175896.76,2,0,1,143500.07,0
611.0,France,Female,33,3,120536.05,2,0,1,190194.24,0
832.0,France,Male,44,2,71374.45,2,1,0,178327.85,0
698.0,France,Male,59,0,0.0,2,1,0,41880.85,0
760.0,Spain,Female,45,5,0.0,2,0,0,98626.51,1
626.0,France,Male,53,2,0.0,1,1,0,44776.81,0
681.0,France,Female,33,1,113746.75,2,1,0,20606.97,0
624.0,France,Female,40,3,208440.77,4,1,1,192991.3,1
600.0,Spain,Female,56,7,157534.23,1,0,1,66672.06,0
774.0,France,Female,54,4,109044.71,2,0,1,20328.07,1
626.0,Germany,Male,21,0,0.0,2,1,1,101979.93,0
703.0,Germany,Female,26,4,3776.17,1,1,0,106681.92,0
747.0,Spain,Female,37,9,0.0,3,1,1,161989.36,0
651.0,Germany,Male,25,5,0.0,1,0,1,147447.34,0
727.0,Germany,Male,47,0,53984.21,2,0,0,179891.15,1
735.0,Germany,Male,51,10,52817.74,2,1,0,127554.47,0
562.0,Spain,Female,36,2,46290.29,1,1,0,171595.53,1
673.0,Spain,Female,33,10,0.0,2,1,0,9832.31,1
646.0,France,Male,33,4,0.0,1,1,1,187720.22,0
563.0,France,Male,49,0,143632.54,2,1,0,133127.44,0
619.0,Germany,Male,25,2,44938.38,1,1,0,167324.25,1
793.0,France,Male,41,5,169855.16,1,1,1,95466.4,0
666.0,France,Female,39,5,0.0,2,1,0,164858.65,0
694.0,Germany,Female,39,3,0.0,1,0,1,193289.16,1
697.0,France,Male,46,3,21973.2,1,0,0,166549.93,0
616.0,Spain,Female,41,4,114187.49,1,1,0,73748.46,1
658.0,France,Male,31,5,152654.26,1,1,1,145778.13,0
443.0,Germany,Male,29,1,149978.96,2,0,0,26543.14,0
548.0,Spain,Female,40,0,0.0,2,1,1,82036.25,0
550.0,France,Male,39,8,162686.92,1,1,0,31723.46,1
836.0,France,Male,68,8,100579.47,1,0,1,64003.36,0
462.0,France,Female,40,10,0.0,1,1,0,80656.45,0
798.0,Germany,Male,35,1,0.0,2,0,0,195907.49,0
681.0,Spain,Male,52,10,52792.76,1,1,0,79614.46,0
618.0,France,Male,42,10,65131.03,2,1,1,141597.25,0
778.0,Germany,Female,27,7,58499.98,1,0,1,187639.54,0
782.0,France,Female,42,9,0.0,1,1,0,158288.96,1
672.0,Spain,Male,46,8,119344.18,2,1,0,168958.76,0
732.0,France,Female,23,10,0.0,2,1,0,93784.91,0
689.0,Spain,Female,33,10,99444.99,1,1,1,131937.31,0
732.0,France,Male,48,4,27762.27,1,0,1,103328.71,0
677.0,France,Male,26,1,83501.33,1,1,1,178187.09,0
745.0,Spain,Female,36,1,78256.58,1,1,1,192365.13,0
725.0,Germany,Male,45,5,0.0,2,1,1,52984.4,1
593.0,Germany,Male,37,8,0.0,1,1,1,41053.44,0
614.0,France,Female,43,1,66246.91,2,1,0,46863.5,1
697.0,Spain,Male,60,1,56231.59,1,0,1,108149.91,0
625.0,France,Female,32,10,137738.34,1,1,1,158709.31,0
637.0,France,Female,31,4,65240.69,2,1,1,180119.18,0
589.0,Spain,Female,38,0,48930.88,2,1,0,180722.39,0
607.0,France,Female,36,2,75800.13,2,1,0,156946.73,0
554.0,France,Male,33,2,0.0,1,0,1,42127.3,0
592.0,France,Female,43,1,162244.25,1,1,0,12621.64,1
806.0,Germany,Female,28,1,227486.19,2,0,1,12688.81,1
738.0,France,Male,29,4,0.0,1,1,1,44045.17,0
775.0,Spain,Male,36,3,0.0,2,1,1,47628.63,0
768.0,France,Male,52,1,0.0,2,1,1,98148.79,0
600.0,France,Male,50,5,64109.4,2,1,1,28516.89,0
735.0,Germany,Female,48,5,131196.12,1,1,0,46911.65,1
629.0,Spain,Male,26,7,12286.38,1,1,0,105757.88,0
687.0,Spain,Female,22,4,165142.85,2,1,1,188051.19,0
624.0,Spain,Female,59,0,12251.74,1,1,1,197742.73,0
664.0,France,Female,57,6,0.0,2,0,0,40475.97,0
526.0,France,Female,33,3,0.0,2,1,0,168988.86,0
605.0,Spain,Male,33,8,154082.01,2,1,0,155700.31,0
625.0,France,Male,30,9,122775.45,1,1,1,47848.4,0
683.0,Germany,Male,35,1,101606.45,1,1,0,22422.59,1
774.0,France,Female,42,6,0.0,3,1,1,67297.92,0
485.0,France,Male,44,2,32085.25,1,1,0,146281.74,0
599.0,France,Female,28,7,81231.21,1,1,0,132609.18,0
601.0,Germany,Male,36,4,0.0,1,1,0,193439.15,1
654.0,Germany,Male,36,0,0.0,1,1,1,39803.9,0
663.0,Germany,Male,33,10,0.0,1,1,1,43121.88,0
509.0,Spain,Female,43,2,146272.33,2,1,1,78794.98,0
742.0,Germany,Female,38,0,138986.38,2,0,1,100070.72,0
741.0,France,Female,21,5,0.0,1,1,1,172714.12,0
677.0,France,Male,50,0,0.0,1,1,0,169782.3,0
569.0,Germany,Female,23,2,80626.03,2,0,1,63208.87,0
711.0,France,Male,33,6,1420.8,1,0,1,150656.22,0
751.0,France,Female,18,6,0.0,2,1,1,122136.89,0
642.0,Germany,Male,32,9,52077.25,2,1,0,40270.56,1
738.0,France,Female,27,7,56244.78,1,1,0,37922.36,0
599.0,Spain,Male,50,10,0.0,1,1,0,74148.5,1
581.0,France,Female,20,6,0.0,2,0,0,1730.17,0
602.0,Germany,Male,40,4,85917.85,1,1,0,60993.12,1
629.0,Spain,Female,57,0,0.0,2,1,0,115129.46,1
638.0,France,Female,49,6,58466.76,2,1,1,165193.28,0
711.0,France,Female,52,1,165651.11,2,1,1,189695.71,0
712.0,Germany,Male,42,7,42723.28,1,1,0,181333.92,1
534.0,France,Female,39,8,226706.49,1,0,1,136740.23,0
526.0,Spain,Male,25,6,36832.59,2,0,0,135731.79,0
661.0,Spain,Female,43,3,0.0,2,0,1,153577.5,0
653.0,France,Male,38,0,3758.09,1,1,0,25702.51,0
761.0,France,Male,51,7,154597.34,1,1,0,9422.53,1
824.0,France,Female,51,3,123098.52,2,1,0,163556.92,0
725.0,Germany,Male,23,5,140837.8,1,1,0,82961.3,0
754.0,Spain,Male,43,2,155745.9,2,1,0,36878.07,0
770.0,France,Female,33,2,56017.14,1,0,1,51570.43,0
682.0,France,Female,47,4,76160.21,2,0,1,186263.85,0
713.0,Germany,Male,32,1,90148.01,2,1,0,186197.51,0
651.0,Germany,Female,34,6,0.0,1,1,1,75500.96,0
449.0,Spain,Female,19,0,0.0,4,0,0,171199.97,0
850.0,France,Female,53,0,0.0,2,1,0,120964.81,1
633.0,Spain,Female,39,5,98575.67,1,1,0,58873.85,0
850.0,France,Female,47,10,0.0,1,1,0,182929.42,0
713.0,France,Female,42,3,59161.98,1,1,1,155847.58,0
756.0,France,Male,32,7,87222.35,2,0,1,188609.52,0
553.0,Spain,Female,46,10,0.0,1,1,0,85052.14,1
570.0,France,Male,24,3,0.0,1,1,0,24129.57,0
667.0,France,Male,40,3,0.0,2,1,0,64977.76,1
610.0,Spain,Female,26,7,104749.01,1,1,0,83737.88,0
619.0,Germany,Male,26,1,164396.11,2,1,0,144239.4,0
633.0,France,Male,33,4,150209.42,1,1,0,158649.37,0
604.0,France,Female,31,5,0.0,2,0,0,194113.32,0
684.0,Spain,Male,30,7,72469.03,2,1,1,135915.33,0
632.0,Spain,Female,31,2,106305.92,2,0,1,45798.49,0
797.0,France,Male,32,4,0.0,1,0,1,189350.27,0
715.0,France,Male,30,9,0.0,1,1,0,8578.22,0
628.0,Germany,Female,33,10,163150.69,1,1,0,129400.48,1
762.0,Germany,Male,37,5,97470.6,2,1,1,150737.88,0
714.0,Spain,Female,26,5,28934.71,2,1,0,798.14,0
835.0,Germany,Female,32,1,0.0,2,1,1,137602.32,0
671.0,Germany,Male,41,8,0.0,1,1,0,49425.83,1
712.0,France,Male,42,6,101040.57,2,1,0,48151.11,0
620.0,France,Male,51,9,14871.84,1,1,1,68572.77,0
751.0,France,Male,36,2,0.0,3,0,0,147781.48,0
596.0,Germany,Male,26,3,0.0,2,1,0,187439.23,0
677.0,Germany,Male,32,3,0.0,2,0,0,52128.45,1
466.0,France,Male,36,6,0.0,2,1,0,73282.4,0
568.0,Spain,Female,31,2,0.0,2,1,0,86574.37,0
790.0,Germany,Male,41,5,95943.84,1,1,0,131761.41,0
666.0,Spain,Male,23,3,80606.51,2,1,0,155643.94,0
638.0,Germany,Female,31,6,6104.84,1,0,0,58877.69,1
639.0,Spain,Male,31,9,0.0,2,1,1,136023.53,0
741.0,France,Female,25,7,0.0,1,1,1,65638.26,1
592.0,Spain,Female,36,2,0.0,1,1,1,48101.15,0
636.0,France,Male,37,6,72728.62,2,1,1,58221.14,0
645.0,Germany,Male,49,1,17911.19,2,0,1,54870.77,0
583.0,Spain,Female,49,4,221309.4,2,1,0,23316.93,1
768.0,France,Male,30,3,12852.8,2,1,1,100080.46,0
622.0,Germany,Male,43,4,0.0,2,1,0,116081.6,0
515.0,France,Female,18,10,140802.41,2,0,1,127309.01,0
542.0,Spain,Female,39,5,0.0,2,0,0,85501.8,0
588.0,France,Female,39,8,85670.75,2,1,0,142435.91,0
707.0,Spain,Male,26,8,0.0,1,0,1,55663.38,0
466.0,France,Male,52,7,0.0,1,0,0,92333.0,0
668.0,France,Male,45,0,53651.25,1,1,1,91870.47,0
581.0,France,Male,49,0,70730.39,2,1,1,175093.76,0
835.0,Germany,Female,37,1,0.0,1,1,1,100914.77,0
687.0,Spain,Female,27,5,59887.41,2,1,0,20414.02,0
596.0,Spain,Male,34,2,260000.0,2,1,0,135006.24,0
598.0,France,Male,36,0,171545.3,1,0,0,20931.4,0
650.0,France,Male,26,0,121969.3,1,1,1,174626.74,0
529.0,Germany,Male,48,6,100173.76,2,1,1,135382.15,0
657.0,Spain,Male,24,10,5859.68,2,1,0,44999.61,0
804.0,Germany,Male,28,7,0.0,1,1,1,114511.05,0
711.0,Spain,Female,37,1,130237.92,2,0,1,16238.6,1
585.0,Germany,Male,18,3,123795.91,2,0,1,142678.8,0
719.0,France,Female,60,4,25166.33,4,1,1,42921.82,1
669.0,Germany,Female,40,5,101931.58,1,1,1,114292.47,0
738.0,Spain,Female,47,10,145317.59,1,0,0,84046.8,0
621.0,Spain,Male,49,8,60636.19,3,0,1,37466.43,0
677.0,France,Female,47,1,0.0,2,0,1,159011.59,0
685.0,France,Male,38,8,95358.94,2,1,1,16634.88,0
613.0,Spain,Female,36,0,145800.3,1,0,1,98125.25,0
677.0,Germany,Female,42,4,0.0,1,1,0,86152.95,0
575.0,France,Female,45,9,0.0,2,1,0,99415.58,0
477.0,Germany,Female,39,9,0.0,1,1,1,131491.48,0
445.0,Germany,Female,25,8,57723.78,1,1,0,144663.56,0
761.0,France,Male,45,4,0.0,1,0,0,7766.18,1
669.0,France,Male,33,7,0.0,1,1,0,71631.53,0
466.0,France,Female,32,3,0.0,1,1,1,186325.14,0
542.0,France,Female,30,0,96077.92,2,1,1,106605.53,0
793.0,France,Female,53,8,18499.82,2,0,0,40189.15,0
815.0,Germany,Male,46,8,155914.2,3,1,0,82167.79,1
629.0,Spain,Male,35,0,0.0,1,1,0,35254.15,0
617.0,France,Male,18,3,197621.95,1,0,0,7488.89,0
578.0,France,Female,34,9,0.0,2,1,1,127370.74,0
741.0,France,Male,36,1,127934.29,2,1,1,53846.1,0
571.0,France,Male,39,8,0.0,1,1,0,31098.07,0
797.0,Germany,Male,33,3,0.0,2,1,0,144857.06,0
715.0,France,Male,43,7,0.0,1,1,0,60384.06,0
666.0,France,Female,35,10,0.0,2,1,0,171354.47,1
621.0,Germany,Female,18,9,172595.76,1,0,1,114213.06,0
691.0,France,Male,48,8,4889.61,1,1,0,190593.66,0
689.0,Spain,Female,34,2,0.0,1,1,1,144548.05,0
601.0,Germany,Male,37,10,80869.12,1,0,1,47636.67,0
681.0,Spain,Male,48,6,202400.19,1,1,1,118485.74,0
708.0,Spain,Male,27,8,0.0,1,1,0,36934.46,0
713.0,France,Male,44,1,99173.78,1,0,0,154618.0,1
406.0,Spain,Female,36,0,0.0,2,0,1,96466.86,0
458.0,Spain,Female,29,7,180844.4,2,1,0,198652.0,0
702.0,France,Male,29,0,103291.98,2,1,1,102159.29,0
512.0,Germany,Female,31,9,237921.92,1,0,1,185708.14,0
